gloss,video_id,xmin,ymin,xmax,ymax,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id
drink,17734,183,55,552,400,25.0,-1,1,18,12,aslsearch,val,http://www.aslsearch.com/signs/videos/drink.mp4,0
drink,17711,289,9,783,480,25.0,-1,1,19,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,0
drink,17712,673,90,1571,1072,25.0,-1,1,20,6,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,0
drink,17713,28,0,542,480,25.0,-1,1,21,21,asldeafined,test,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,0
drink,17714,53,9,579,480,25.0,-1,1,22,20,handspeak,train,https://www.handspeak.com/word/d/drink2.mp4,0
drink,17715,57,0,586,480,25.0,-1,1,23,14,handspeak,train,https://www.handspeak.com/word/d/drink-alcohol.mp4,0
drink,17716,113,0,493,360,25.0,-1,1,24,20,handspeak,test,https://www.handspeak.com/word/d/drink-british.mp4,0
drink,17717,112,0,509,360,25.0,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/d/drink.mp4,0
drink,17718,84,0,506,360,25.0,-1,1,26,20,handspeak,test,https://www.handspeak.com/word/d/drink-mug.mp4,0
drink,17709,41,9,257,240,25.0,-1,1,27,2,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/153289.mp4,0
drink,67594,98,13,372,360,25.0,-1,1,28,109,asllex,train,https://youtu.be/yawcLQIhQiE,0
drink,17719,124,0,542,360,25.0,-1,1,29,14,handspeak,train,https://www.handspeak.com/word/d/drink-plu.mp4,0
drink,17720,49,3,220,192,25.0,-1,1,30,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,0
drink,17721,66,19,209,192,25.0,-1,1,31,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,0
drink,17722,66,19,209,192,25.0,-1,1,32,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,0
drink,17723,65,20,208,192,25.0,-1,1,33,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23389.mp4,0
drink,17724,68,18,220,192,25.0,-1,1,34,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/7/7796.mp4,0
computer,12306,0,0,360,240,25.0,5181,5122,0,9,asl5200,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,0
computer,68028,111,0,1198,720,25.0,-1,1,1,109,valencia-asl,train,https://www.youtube.com/watch?v=H-tAzh-nuV8,0
computer,69054,110,16,549,360,25.0,72,1,2,113,lillybauer,train,https://www.youtube.com/watch?v=YEFd7zsUNXU,0
computer,12328,56,11,240,192,25.0,-1,1,3,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6326.mp4,1
computer,12329,317,42,1077,720,25.0,-1,1,4,5,aslu,train,https://www.youtube.com/watch?v=97IwdVSOQho,1
computer,12330,299,34,1066,720,25.0,-1,1,5,5,aslu,train,https://www.youtube.com/watch?v=cujhpwWi1yY,1
computer,12312,422,50,824,720,25.0,-1,1,6,38,startasl,val,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4,0
computer,12331,320,47,961,720,25.0,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=fY11M3Dxxx0,0
computer,12332,331,67,869,720,25.0,-1,1,8,65,nabboud,test,https://www.youtube.com/watch?v=lVo6MByRMHY,2
computer,12333,256,28,1084,720,25.0,-1,1,9,5,aslu,val,https://www.youtube.com/watch?v=-_RSZM-lLXE,1
computer,12335,321,1,953,720,25.0,-1,1,11,5,aslu,val,https://www.youtube.com/watch?v=vK4GwJaDcWU,2
computer,12336,386,67,872,720,25.0,-1,1,12,65,nabboud,test,https://www.youtube.com/watch?v=-wmqgdmwySo,0
computer,12311,27,0,313,240,25.0,-1,1,13,56,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/51378.mp4,1
computer,12337,8,1,251,240,25.0,-1,1,14,72,aslpro,train,http://www.aslpro.com/main/c/computer.swf,1
computer,12338,221,42,501,400,25.0,-1,1,15,41,aslsearch,train,http://www.aslsearch.com/signs/videos/computer.mp4,1
computer,12313,409,51,833,720,25.0,-1,1,16,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4,1
computer,12314,257,38,1684,1080,25.0,-1,1,17,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,0
computer,12315,436,35,1765,1080,25.0,-1,1,18,4,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4,1
computer,12316,412,18,1698,1080,25.0,-1,1,19,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4,2
computer,12317,473,44,1708,1080,25.0,-1,1,20,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4,2
computer,12318,365,45,1673,1080,25.0,-1,1,21,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4,0
computer,12319,494,99,1414,1077,25.0,-1,1,22,45,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4,2
computer,12320,74,19,565,480,25.0,-1,1,23,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4,1
computer,67519,96,17,417,360,25.0,-1,1,24,109,asllex,test,https://youtu.be/u1xoXux2NaE,1
computer,12321,115,0,561,480,25.0,-1,1,25,20,handspeak,train,https://www.handspeak.com/word/c/computer-arm2.mp4,0
computer,12322,107,0,534,480,25.0,-1,1,26,20,handspeak,train,https://www.handspeak.com/word/c/computer-arm.mp4,0
computer,12323,14,0,521,480,25.0,-1,1,27,20,handspeak,train,https://www.handspeak.com/word/c/computer-head.mp4,2
computer,12324,120,9,522,360,25.0,-1,1,28,14,handspeak,train,https://www.handspeak.com/word/c/computer-old2.mp4,1
computer,12326,69,9,214,192,25.0,-1,1,30,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/6/6011.mp4,0
computer,12327,63,0,218,192,25.0,-1,1,31,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6012.mp4,2
before,05724,0,0,360,240,25.0,1779,1733,0,9,asl5200,train,https://www.youtube.com/watch?v=pDqITge_TGs,0
before,70348,185,50,419,360,25.0,4873,4778,1,121,northtexas,train,https://www.youtube.com/watch?v=bq-HmgjGzmw,0
before,68007,121,26,1003,720,25.0,-1,1,2,109,valencia-asl,train,https://www.youtube.com/watch?v=IYH-gBXXl8I,0
before,05744,156,14,493,360,25.0,-1,1,3,5,aslu,train,https://www.youtube.com/watch?v=MvtVsr3P098,1
before,05746,142,12,493,360,25.0,-1,1,5,5,aslu,val,https://www.youtube.com/watch?v=PeO4kaKvoVM,0
before,05728,624,70,1587,1070,25.0,-1,1,6,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4,0
before,05747,327,2,1071,720,25.0,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=TQMe2WDz9QE,1
before,05748,15,12,206,240,25.0,-1,1,8,24,aslpro,train,http://www.aslpro.com/main/b/before.swf,1
before,05749,167,52,512,400,25.0,-1,1,9,12,aslsearch,train,http://www.aslsearch.com/signs/videos/before3.mp4,0
before,05750,171,52,513,400,25.0,-1,1,10,12,aslsearch,val,http://www.aslsearch.com/signs/videos/before.mp4,1
before,05729,300,12,1202,1080,25.0,-1,1,11,46,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4,1
before,05730,712,64,1652,1080,25.0,-1,1,12,32,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4,1
before,65167,190,0,504,370,25.0,-1,1,13,88,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4,1
before,05731,570,98,1535,1080,25.0,-1,1,14,4,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4,0
before,05732,103,25,528,480,25.0,-1,1,15,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4,0
before,05733,95,23,533,480,25.0,-1,1,16,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4,1
before,05734,129,0,555,480,25.0,-1,1,17,13,asldeafined,train,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4,0
before,05735,30,4,550,480,25.0,-1,1,18,20,handspeak,test,https://www.handspeak.com/word/b/before-long.mp4,0
before,05736,59,0,303,240,25.0,-1,1,19,14,handspeak,val,https://www.handspeak.com/word/b/before.mp4,1
before,05727,386,45,810,720,25.0,-1,1,20,38,startasl,test,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4,1
before,05737,102,11,532,480,25.0,-1,1,21,20,handspeak,val,https://www.handspeak.com/word/b/before-past.mp4,0
before,05739,74,23,209,192,25.0,-1,1,23,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/22/22829.mp4,1
before,05740,90,22,203,192,25.0,-1,1,24,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/22/22831.mp4,1
before,05741,65,9,219,192,25.0,-1,1,25,11,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/5/5971.mp4,0
before,05742,67,14,216,192,25.0,-1,1,26,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6164.mp4,0
before,05743,43,3,212,192,25.0,-1,1,27,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/9/9194.mp4,0
chair,09847,0,0,360,240,25.0,1889,1830,0,9,asl5200,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,0
chair,70230,127,41,449,360,25.0,2231,2101,1,121,northtexas,train,https://www.youtube.com/watch?v=4Nh1iFv2BMc,0
chair,68580,340,12,944,720,25.0,51,1,2,115,lillybauer,train,https://www.youtube.com/watch?v=j2hvnGiBrRI,0
chair,70263,112,39,426,360,25.0,3209,3092,3,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0
chair,68019,229,3,672,480,25.0,-1,1,4,110,valencia-asl,train,https://www.youtube.com/watch?v=zICB0wesqvY,0
chair,09865,0,10,245,240,25.0,-1,1,6,72,aslpro,train,http://www.aslpro.com//main/c/chair_stacking.swf,0
chair,09866,18,6,247,240,25.0,-1,1,7,72,aslpro,train,http://www.aslpro.com/main/c/chair.swf,0
chair,09848,40,6,266,240,25.0,-1,1,8,0,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/74909.mp4,0
chair,09867,5,9,250,240,25.0,-1,1,9,72,aslpro,test,http://www.aslpro.com//main/c/chair_wood.swf,0
chair,09869,183,55,560,400,25.0,-1,1,11,12,aslsearch,train,http://www.aslsearch.com/signs/videos/chair.mp4,0
chair,09849,388,56,806,720,25.0,-1,1,12,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4,0
chair,09850,667,144,1472,1061,25.0,-1,1,13,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4,0
chair,09851,102,22,563,480,25.0,-1,1,14,59,asldeafined,val,https://media.asldeafined.com/vocabulary/1466729509.9229.mp4,0
chair,65328,169,15,476,370,25.0,-1,1,15,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4,0
chair,09853,60,0,306,240,25.0,-1,1,17,14,handspeak,train,https://www.handspeak.com/word/c/chair.mp4,0
chair,09854,81,15,233,192,25.0,-1,1,18,11,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/7/7821.mp4,0
chair,09855,288,29,1001,720,25.0,-1,1,19,5,aslu,test,https://www.youtube.com/watch?v=8vc2vD9N4tk,0
chair,09856,273,88,902,720,25.0,-1,1,20,65,nabboud,train,https://www.youtube.com/watch?v=dXz1i9gTR4w,0
chair,67483,92,19,395,360,25.0,-1,1,21,109,asllex,val,https://youtu.be/K47c4lIJQvI,0
chair,09857,15,8,245,240,25.0,-1,1,22,72,aslpro,train,http://www.aslpro.com//main/c/chair_director.swf,0
chair,09858,0,8,249,240,25.0,-1,1,23,72,aslpro,train,http://www.aslpro.com//main/c/chair_folding.swf,0
chair,09859,0,8,247,240,25.0,-1,1,24,72,aslpro,train,http://www.aslpro.com//main/c/chair_lawn_folding.swf,0
chair,09860,1,8,252,240,25.0,-1,1,25,72,aslpro,train,http://www.aslpro.com//main/c/chair_lawn.swf,0
chair,09861,18,5,242,240,25.0,-1,1,26,72,aslpro,train,http://www.aslpro.com//main/c/chair_loveseat.swf,0
chair,09862,10,9,248,240,25.0,-1,1,27,72,aslpro,val,http://www.aslpro.com//main/c/chair_recliner.swf,0
chair,09863,5,8,239,240,25.0,-1,1,28,72,aslpro,train,http://www.aslpro.com//main/c/chair_rocking_1.swf,0
go,24857,0,0,360,240,25.0,926,887,0,9,asl5200,test,https://www.youtube.com/watch?v=YdHKN_wHZqo,0
go,69345,268,38,898,720,25.0,-1,1,1,118,aslbrick,val,http://aslbricks.org/New/ASL-Videos/go.mp4,0
go,68292,93,11,559,360,25.0,65,1,2,113,lillybauer,train,https://www.youtube.com/watch?v=7IkKMzvSsFM,0
go,24955,79,22,201,192,25.0,-1,1,3,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,0
go,24956,81,22,199,192,25.0,-1,1,4,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23401.mp4,0
go,24941,187,18,526,414,25.0,-1,1,8,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4,0
go,24960,78,25,214,192,25.0,-1,1,9,10,signingsavvy,test,https://www.signingsavvy.com/signs/mp4/23/23517.mp4,1
go,24961,78,25,214,192,25.0,-1,1,10,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23517.mp4,1
go,24962,88,25,217,192,25.0,-1,1,11,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23519.mp4,1
go,24965,201,38,837,720,25.0,-1,1,15,65,nabboud,train,https://www.youtube.com/watch?v=jknOnIhAbNo,0
go,24969,239,20,942,720,25.0,-1,1,19,5,aslu,train,https://www.youtube.com/watch?v=ZEyH-t5ALCs,0
go,24970,239,20,942,720,25.0,-1,1,21,5,aslu,train,https://www.youtube.com/watch?v=ZEyH-t5ALCs,0
go,24971,345,51,948,720,25.0,-1,1,22,65,nabboud,train,https://www.youtube.com/watch?v=ZyL9f_qoGug,0
go,24972,2,9,248,240,25.0,-1,1,23,25,aslpro,train,http://www.aslpro.com/main/g/go.swf,1
go,65824,149,9,591,370,25.0,-1,1,24,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4,0
go,24973,229,42,573,400,25.0,-1,1,25,41,aslsearch,train,http://www.aslsearch.com/signs/videos/go.mp4,0
go,24943,283,19,812,480,25.0,-1,1,26,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20go-c3j44FTrL9c.mp4,0
go,24946,607,62,1534,1075,25.0,-1,1,29,31,signschool,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20To%20Go-BeOwDK5YI0U.mp4,0
go,24947,58,2,557,480,25.0,-1,1,30,21,asldeafined,train,https://media.asldeafined.com/vocabulary/1468549286.5649.mp4,0
go,24948,37,7,273,240,25.0,-1,1,31,14,handspeak,val,https://www.handspeak.com/word/g/go.mp4,0
go,24940,37,1,284,240,25.0,-1,1,33,0,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/58507.mp4,0
go,67715,106,19,343,360,25.0,-1,1,34,109,asllex,test,https://youtu.be/QfVrSA3yrSc,0
go,24950,4,9,525,480,25.0,-1,1,35,14,handspeak,train,https://www.handspeak.com/word/g/go-to2.mp4,1
go,24951,13,1,526,480,25.0,-1,1,36,20,handspeak,train,https://www.handspeak.com/word/g/go-to.mp4,0
go,24952,32,14,204,192,25.0,-1,1,37,10,signingsavvy,val,https://www.signingsavvy.com/signs/mp4/22/22235.mp4,1
go,24954,79,22,201,192,25.0,-1,1,39,10,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/23/23400.mp4,0
clothes,11305,0,0,360,240,25.0,3997,3938,0,9,asl5200,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,0
clothes,68870,348,11,932,720,25.0,51,1,1,115,lillybauer,train,https://www.youtube.com/watch?v=RVnoNW53qFU,0
clothes,68024,210,0,661,480,25.0,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=Xmrvvk8l3_w,0
clothes,11327,0,5,255,240,25.0,-1,1,3,72,aslpro,train,http://www.aslpro.com//main/c/clothes.swf,0
clothes,11328,14,8,243,240,25.0,-1,1,4,72,aslpro,train,http://www.aslpro.com//main/c/clothes_winter.swf,0
clothes,11310,403,67,893,720,25.0,-1,1,5,38,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/clothes.mp4,0
clothes,11329,12,7,236,240,25.0,-1,1,6,72,aslpro,train,http://www.aslpro.com//main/c/clothes_womens.swf,0
clothes,11330,165,51,578,400,25.0,-1,1,7,12,aslsearch,train,http://www.aslsearch.com/signs/videos/clothes.mp4,0
clothes,11311,70,21,614,480,25.0,-1,1,8,59,asldeafined,test,https://media.asldeafined.com/vocabulary/1466899298.7370.mp4,0
clothes,11312,42,0,612,480,25.0,-1,1,9,20,handspeak,train,https://www.handspeak.com/word/c/clothes.mp4,0
clothes,11313,56,8,243,192,25.0,-1,1,10,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/6/6566.mp4,0
clothes,11314,242,43,1134,720,25.0,-1,1,11,5,aslu,val,https://www.youtube.com/watch?v=06hMAkUdQgg,0
clothes,11315,341,49,999,720,25.0,-1,1,12,5,aslu,val,https://www.youtube.com/watch?v=15czV0-SagI,0
clothes,11309,21,2,304,240,25.0,-1,1,13,42,spreadthesign,train,https://media.spreadthesign.com/video/mp4/13/399310.mp4,0
clothes,11316,320,28,968,720,25.0,-1,1,14,5,aslu,train,https://www.youtube.com/watch?v=mda48XkT9gQ,0
clothes,11317,3,6,240,240,25.0,-1,1,15,72,aslpro,train,http://www.aslpro.com//main/c/clothes_boys.swf,0
clothes,11318,0,6,224,240,25.0,-1,1,16,72,aslpro,test,http://www.aslpro.com//main/c/clothes_designer.swf,0
clothes,11319,12,7,234,240,25.0,-1,1,17,72,aslpro,val,http://www.aslpro.com//main/c/clothes_fall.swf,0
clothes,11320,5,9,242,240,25.0,-1,1,18,72,aslpro,train,http://www.aslpro.com//main/c/clothes_girls.swf,0
clothes,11321,7,7,232,240,25.0,-1,1,19,49,aslpro,train,http://www.aslpro.com//main/c/clothes_irregular.swf,0
clothes,11322,3,8,228,240,25.0,-1,1,20,72,aslpro,train,http://www.aslpro.com//main/c/clothes_mens.swf,0
clothes,11323,8,5,238,240,25.0,-1,1,21,72,aslpro,train,http://www.aslpro.com//main/c/clothes_petite.swf,0
clothes,11324,0,9,254,240,25.0,-1,1,22,72,aslpro,train,http://www.aslpro.com//main/c/clothes_plus_size.swf,0
clothes,11325,14,8,238,240,25.0,-1,1,23,72,aslpro,val,http://www.aslpro.com//main/c/clothes_spring.swf,0
clothes,11326,13,8,241,240,25.0,-1,1,24,72,aslpro,train,http://www.aslpro.com//main/c/clothes_summer.swf,0
who,63219,0,0,360,240,25.0,2235,2159,0,9,asl5200,test,https://www.youtube.com/watch?v=A5dihMAjeTE,0
who,69534,381,45,868,720,25.0,-1,1,1,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/who.mp4,0
who,68890,343,21,928,720,25.0,54,1,2,115,lillybauer,train,https://www.youtube.com/watch?v=SQUHKsHMUiw,0
who,68183,196,11,606,480,25.0,-1,1,3,111,valencia-asl,train,https://www.youtube.com/watch?v=Xx8ZjswBRLY,0
